train_dataset,eval_dataset,eval_condition,model,accuracy,balanced_accuracy,f1_weighted
APTOS,APTOS,original_val,LogReg,0.781718963165075,0.5992759440975319,0.7771849494163
APTOS,APTOS,degraded,LogReg,0.892408519934462,0.8057151093522403,0.8909023799791803
APTOS,APTOS,bicubic_original,LogReg,0.9164391043145822,0.838589258147952,0.9152510593046459
APTOS,APTOS,bicubic_degraded,LogReg,0.892408519934462,0.8057151093522403,0.8909023799791803
APTOS,APTOS,espcn_original,LogReg,0.8844893500819224,0.7926542183629248,0.8830713176147444
APTOS,APTOS,espcn_degraded,LogReg,0.8536318951392682,0.7529169694012579,0.8525937699220527
APTOS,APTOS,fsrcnn_original,LogReg,0.7741671217913708,0.58093049269209,0.7637180779387037
APTOS,APTOS,fsrcnn_degraded,LogReg,0.7596941561987984,0.5786580451091836,0.7512120881330416
APTOS,APTOS,srcnn_original,LogReg,0.9016930638995084,0.819197500030471,0.900431705005987
APTOS,APTOS,srcnn_degraded,LogReg,0.8667394866193336,0.7740857414395956,0.8656006812924102
APTOS,IDRiD,original,LogReg,0.4631782945736434,0.363502361389165,0.45179242667063557
APTOS,IDRiD,degraded,LogReg,0.4631782945736434,0.36932629953170804,0.45458924683209173
APTOS,IDRiD,bicubic_original,LogReg,0.5060532687651331,0.40020789033644927,0.5007576095767071
APTOS,IDRiD,bicubic_degraded,LogReg,0.513317191283293,0.40860962941045714,0.5071425058938408
APTOS,IDRiD,espcn_original,LogReg,0.5399515738498789,0.4272571569975308,0.530709563323544
APTOS,IDRiD,espcn_degraded,LogReg,0.5326876513317191,0.42800163389276646,0.527474810888647
APTOS,IDRiD,fsrcnn_original,LogReg,0.5012106537530266,0.36414501016219314,0.4667761231773199
APTOS,IDRiD,fsrcnn_degraded,LogReg,0.4939467312348668,0.3597332454563108,0.46059996435247713
APTOS,IDRiD,srcnn_original,LogReg,0.5157384987893463,0.40749112230612294,0.5061794821840653
APTOS,IDRiD,srcnn_degraded,LogReg,0.5181598062953995,0.41159470403732284,0.509781369879593
APTOS,APTOS,original_val,SVM_RBF,0.8021828103683493,0.5737319569368022,0.7835373311180139
APTOS,APTOS,degraded,SVM_RBF,0.8626433642818132,0.6979112887637333,0.8538668956815819
APTOS,APTOS,bicubic_original,SVM_RBF,0.8689240851993446,0.7067707409972086,0.8613623510604793
APTOS,APTOS,bicubic_degraded,SVM_RBF,0.8626433642818132,0.6979112887637333,0.8538668956815819
APTOS,APTOS,espcn_original,SVM_RBF,0.8629164391043146,0.696278017285007,0.853976782812047
APTOS,APTOS,espcn_degraded,SVM_RBF,0.8533588203167668,0.6885987778687161,0.842233186702111
APTOS,APTOS,fsrcnn_original,SVM_RBF,0.804205352266521,0.5794451893983629,0.7858312913355338
APTOS,APTOS,fsrcnn_degraded,SVM_RBF,0.7938285090114692,0.5772314285045793,0.7770115259197942
APTOS,APTOS,srcnn_original,SVM_RBF,0.8683779355543418,0.7093871714260567,0.8610293222572252
APTOS,APTOS,srcnn_degraded,SVM_RBF,0.8612779901693064,0.7030384150351641,0.8522398309596879
APTOS,IDRiD,original,SVM_RBF,0.4903100775193798,0.36650715916269333,0.4441567555358379
APTOS,IDRiD,degraded,SVM_RBF,0.4883720930232558,0.3687228539157016,0.4487985048883913
APTOS,IDRiD,bicubic_original,SVM_RBF,0.5375302663438256,0.3913010561223279,0.4993517620985691
APTOS,IDRiD,bicubic_degraded,SVM_RBF,0.5326876513317191,0.39945643767793526,0.5002551001329267
APTOS,IDRiD,espcn_original,SVM_RBF,0.5447941888619855,0.4023577377703805,0.5051975507341784
APTOS,IDRiD,espcn_degraded,SVM_RBF,0.5254237288135594,0.39058620382400644,0.48634697083727096
APTOS,IDRiD,fsrcnn_original,SVM_RBF,0.5036319612590799,0.3666055078747917,0.453448519849608
APTOS,IDRiD,fsrcnn_degraded,SVM_RBF,0.5036319612590799,0.3666055078747917,0.45443850646635503
APTOS,IDRiD,srcnn_original,SVM_RBF,0.5472154963680388,0.4050384913949444,0.5101047691277003
APTOS,IDRiD,srcnn_degraded,SVM_RBF,0.5375302663438256,0.3979679221426368,0.5012952471926269
APTOS,APTOS,original_val,RF,0.762619372442019,0.45886269843648125,0.7159054236440943
APTOS,APTOS,degraded,RF,0.8967777170944838,0.7635157850029258,0.8912904252723448
APTOS,APTOS,bicubic_original,RF,0.946204259967231,0.8784235830799745,0.9452227754458172
APTOS,APTOS,bicubic_degraded,RF,0.8967777170944838,0.7635157850029258,0.8912904252723448
APTOS,APTOS,espcn_original,RF,0.8844893500819224,0.7391893751412394,0.8778382250792832
APTOS,APTOS,espcn_degraded,RF,0.8361551064991808,0.6293065958066406,0.8157553356473051
APTOS,APTOS,fsrcnn_original,RF,0.7547788093937738,0.44561955980414664,0.7045290717246029
APTOS,APTOS,fsrcnn_degraded,RF,0.7517749863462588,0.4523629177103531,0.7041679230319169
APTOS,APTOS,srcnn_original,RF,0.9227198252321136,0.8299565328030164,0.9202340346185734
