model,train_dataset,eval_dataset,eval_condition,accuracy,balanced_accuracy,f1_weighted
ResNet18,APTOS,APTOS,original_val,0.800818553888131,0.6548421506844908,0.8005841839108463
ResNet18,APTOS,APTOS,original_full,0.9377389404696886,0.8982663811312216,0.9380934626418088
ResNet18,APTOS,APTOS,degraded,0.9344620425996724,0.8945386277345475,0.9349662197300723
ResNet18,APTOS,APTOS,bicubic_original,0.9377389404696886,0.8982663811312216,0.9380934626418088
ResNet18,APTOS,APTOS,bicubic_degraded,0.9344620425996724,0.8945386277345475,0.9349662197300723
ResNet18,APTOS,APTOS,espcn_original,0.9243582741671218,0.883541571136367,0.9254469072694479
ResNet18,APTOS,APTOS,espcn_degraded,0.9188967777170944,0.8796100059305244,0.9201945649477117
ResNet18,APTOS,APTOS,fsrcnn_original,0.772801747678864,0.6928868229706941,0.7706328798103557
ResNet18,APTOS,APTOS,fsrcnn_degraded,0.7539595849262698,0.6754281150713541,0.751559750606666
ResNet18,APTOS,APTOS,srcnn_original,0.9333697433096668,0.8901601960609377,0.9336794851528497
ResNet18,APTOS,APTOS,srcnn_degraded,0.9287274713271436,0.8849002048617006,0.9291832728025593
ResNet18,APTOS,IDRiD,original,0.44573643410852715,0.4127424961620322,0.4624297523539973
ResNet18,APTOS,IDRiD,degraded,0.4476744186046512,0.4122488712705943,0.46164060088823267
ResNet18,APTOS,IDRiD,bicubic_original,0.49878934624697335,0.4520546685798159,0.5180676925324348
ResNet18,APTOS,IDRiD,bicubic_degraded,0.5012106537530266,0.4463747750007627,0.5222142385730718
ResNet18,APTOS,IDRiD,espcn_original,0.49878934624697335,0.46783747948554166,0.5157445849623474
ResNet18,APTOS,IDRiD,espcn_degraded,0.4939467312348668,0.4405182331101057,0.5114672512921435
ResNet18,APTOS,IDRiD,fsrcnn_original,0.4261501210653753,0.35745606431358345,0.4459552755441481
ResNet18,APTOS,IDRiD,fsrcnn_degraded,0.423728813559322,0.34745606431358345,0.4458560896590163
ResNet18,APTOS,IDRiD,srcnn_original,0.4915254237288136,0.4378374794855418,0.5114286257546612
ResNet18,APTOS,IDRiD,srcnn_degraded,0.49878934624697335,0.4534555476083132,0.5191273735949891
ResNet50,APTOS,APTOS,original_val,0.800818553888131,0.6254980978515416,0.7993977964405076
ResNet50,APTOS,APTOS,original_full,0.9382850901146914,0.8933685567762236,0.9387785658029473
ResNet50,APTOS,APTOS,degraded,0.9382850901146914,0.8889382720728035,0.9383903949207943
ResNet50,APTOS,APTOS,bicubic_original,0.9382850901146914,0.8933685567762236,0.9387785658029473
ResNet50,APTOS,APTOS,bicubic_degraded,0.9382850901146914,0.8889382720728035,0.9383903949207943
ResNet50,APTOS,APTOS,espcn_original,0.9352812670671764,0.8892913013351322,0.9357212019440776
ResNet50,APTOS,APTOS,espcn_degraded,0.9344620425996724,0.8876576613955465,0.934737248167389
ResNet50,APTOS,APTOS,fsrcnn_original,0.8246859639541234,0.71728137731994,0.8245636528012786
ResNet50,APTOS,APTOS,fsrcnn_degraded,0.8088476242490442,0.7036866367813672,0.8091697392210558
ResNet50,APTOS,APTOS,srcnn_original,0.9369197160021846,0.8894896578722451,0.9372973926619437
ResNet50,APTOS,APTOS,srcnn_degraded,0.9358274167121792,0.883004068415741,0.9358785370047465
ResNet50,APTOS,IDRiD,original,0.36046511627906974,0.41266865246472156,0.38249235647188073
ResNet50,APTOS,IDRiD,degraded,0.35271317829457366,0.4068685710624531,0.3712853191362918
ResNet50,APTOS,IDRiD,bicubic_original,0.38498789346246975,0.4446386162371362,0.40337725023752213
ResNet50,APTOS,IDRiD,bicubic_degraded,0.38256658595641646,0.4393029200385278,0.3944756590938443
ResNet50,APTOS,IDRiD,espcn_original,0.38256658595641646,0.44314607892370345,0.3989259474968059
ResNet50,APTOS,IDRiD,espcn_degraded,0.37530266343825663,0.4322581618367395,0.38548781511503993
ResNet50,APTOS,IDRiD,fsrcnn_original,0.3341404358353511,0.4057996922044332,0.32978911930947036
ResNet50,APTOS,IDRiD,fsrcnn_degraded,0.33171912832929784,0.3957557940481558,0.32356152747490785
ResNet50,APTOS,IDRiD,srcnn_original,0.387409200968523,0.4449429372394379,0.40706735985429093
ResNet50,APTOS,IDRiD,srcnn_degraded,0.37772397094430993,0.4351735272568084,0.39362885366218064
EffNetB0,APTOS,APTOS,original_val,0.8226466575716235,0.6552834482157924,0.819825933782362
EffNetB0,APTOS,APTOS,original_full,0.9516657564172584,0.9050467234179622,0.9515717418367963
EffNetB0,APTOS,APTOS,degraded,0.9429273620972146,0.8880222674228182,0.9427343144177734
EffNetB0,APTOS,APTOS,bicubic_original,0.9516657564172584,0.9050467234179622,0.9515717418367963
EffNetB0,APTOS,APTOS,bicubic_degraded,0.9429273620972146,0.8880222674228182,0.9427343144177734
EffNetB0,APTOS,APTOS,espcn_original,0.9396504642271982,0.8881700364209626,0.9397055901089778
EffNetB0,APTOS,APTOS,espcn_degraded,0.92599672310213,0.8674228120090499,0.9263420999932341
EffNetB0,APTOS,APTOS,fsrcnn_original,0.7315674494811578,0.5828825931149302,0.7289375131078079
EffNetB0,APTOS,APTOS,fsrcnn_degraded,0.6971600218459858,0.5515961082225619,0.6873950584154657
EffNetB0,APTOS,APTOS,srcnn_original,0.9437465865647188,0.898822696258641,0.9439881945126648
EffNetB0,APTOS,APTOS,srcnn_degraded,0.9388312397596942,0.8857001584694121,0.9388377428714687
EffNetB0,APTOS,IDRiD,original,0.4166666666666667,0.419131717993843,0.4391016796253344
EffNetB0,APTOS,IDRiD,degraded,0.42054263565891475,0.4286637996258212,0.43930532350722873
EffNetB0,APTOS,IDRiD,bicubic_original,0.4600484261501211,0.4564898956758984,0.4817338363147325
EffNetB0,APTOS,IDRiD,bicubic_degraded,0.4721549636803874,0.4763402739070618,0.49071597779933573
EffNetB0,APTOS,IDRiD,espcn_original,0.4600484261501211,0.47350482104903274,0.4814314195269331
EffNetB0,APTOS,IDRiD,espcn_degraded,0.46731234866828086,0.4562373565803893,0.4906264970449193
EffNetB0,APTOS,IDRiD,fsrcnn_original,0.4261501210653753,0.3478405884338406,0.42672602624621947
EffNetB0,APTOS,IDRiD,fsrcnn_degraded,0.43341404358353514,0.34966325780009455,0.4335840476857576
EffNetB0,APTOS,IDRiD,srcnn_original,0.4600484261501211,0.45750934742594096,0.4830669386441144
EffNetB0,APTOS,IDRiD,srcnn_degraded,0.4600484261501211,0.47469303736016394,0.4821605403108552
ViT_B16,APTOS,APTOS,original_val,0.7994542974079127,0.6021907358571521,0.789104050840055
ViT_B16,APTOS,APTOS,original_full,0.8959584926269798,0.7818455722060917,0.8931388321892916
ViT_B16,APTOS,APTOS,degraded,0.8965046422719826,0.7846527651019821,0.8938889408390378
ViT_B16,APTOS,APTOS,bicubic_original,0.8959584926269798,0.7818455722060917,0.8931388321892916
ViT_B16,APTOS,APTOS,bicubic_degraded,0.8965046422719826,0.7846527651019821,0.8938889408390378
ViT_B16,APTOS,APTOS,espcn_original,0.897596941561988,0.7903564633788072,0.8955114184332835
ViT_B16,APTOS,APTOS,espcn_degraded,0.8973238667394866,0.7897799968622335,0.8950553147293849
ViT_B16,APTOS,APTOS,fsrcnn_original,0.7692517749863462,0.5657090667373278,0.7562555081006012
ViT_B16,APTOS,APTOS,fsrcnn_degraded,0.7689787001638448,0.565848491053513,0.75568418028748
ViT_B16,APTOS,APTOS,srcnn_original,0.8965046422719826,0.7824673528287335,0.8936803608490445
ViT_B16,APTOS,APTOS,srcnn_degraded,0.897596941561988,0.7870722334624188,0.8950322827662938
ViT_B16,APTOS,IDRiD,original,0.375968992248062,0.39135825014353165,0.3572040997724975
ViT_B16,APTOS,IDRiD,degraded,0.374031007751938,0.39025934904463055,0.3559862269701984
ViT_B16,APTOS,IDRiD,bicubic_original,0.4067796610169492,0.43227198261313404,0.38547619099918357
ViT_B16,APTOS,IDRiD,bicubic_degraded,0.41404358353510895,0.43929479173678343,0.3900708365178915
ViT_B16,APTOS,IDRiD,espcn_original,0.4067796610169492,0.43819034996007283,0.3826958046786389
ViT_B16,APTOS,IDRiD,espcn_degraded,0.4019370460048426,0.4326161799935787,0.3755522092766931
ViT_B16,APTOS,IDRiD,fsrcnn_original,0.3220338983050847,0.3106952034545162,0.27373386851634135
ViT_B16,APTOS,IDRiD,fsrcnn_degraded,0.33171912832929784,0.3106811381268925,0.28402735513486693
ViT_B16,APTOS,IDRiD,srcnn_original,0.41646489104116224,0.44076537997207765,0.390768501638592
ViT_B16,APTOS,IDRiD,srcnn_degraded,0.4116222760290557,0.42927284265864474,0.3861677643669021
ResNet18,IDRiD,IDRiD,original_val,0.49038461538461536,0.38134884884884884,0.4844948910738384
ResNet18,IDRiD,IDRiD,original_full,0.8798449612403101,0.8476733846912655,0.8796050835181427
ResNet18,IDRiD,IDRiD,degraded,0.874031007751938,0.8413796783975591,0.8736479138653414
ResNet18,IDRiD,IDRiD,bicubic_original,0.8983050847457628,0.8759326941748865,0.8986629656822088
ResNet18,IDRiD,IDRiD,bicubic_degraded,0.8958837772397095,0.8744621059395925,0.8962993424698645
ResNet18,IDRiD,IDRiD,espcn_original,0.8958837772397095,0.8744621059395925,0.8962631457677793
ResNet18,IDRiD,IDRiD,espcn_degraded,0.8958837772397095,0.8718510615218253,0.8961651958338591
ResNet18,IDRiD,IDRiD,fsrcnn_original,0.7506053268765133,0.644043596462385,0.7372536628527917
ResNet18,IDRiD,IDRiD,fsrcnn_degraded,0.7409200968523002,0.6329391546856742,0.7280385545490667
ResNet18,IDRiD,IDRiD,srcnn_original,0.8958837772397095,0.8744621059395925,0.8963460102448909
ResNet18,IDRiD,IDRiD,srcnn_degraded,0.8958837772397095,0.8732299914721839,0.8962191300523418
ResNet18,IDRiD,APTOS,original,0.3514472965592572,0.3228959974663864,0.3822671594076417
ResNet18,IDRiD,APTOS,degraded,0.3350628072091753,0.32375091407603335,0.3682017056195388
ResNet18,IDRiD,APTOS,bicubic_original,0.3514472965592572,0.3228959974663864,0.3822671594076417
ResNet18,IDRiD,APTOS,bicubic_degraded,0.3350628072091753,0.32375091407603335,0.3682017056195388
ResNet18,IDRiD,APTOS,espcn_original,0.337793555434189,0.33008891344167973,0.3700818108963899
ResNet18,IDRiD,APTOS,espcn_degraded,0.309393773894047,0.3176737152282819,0.3411897836120307
ResNet18,IDRiD,APTOS,fsrcnn_original,0.3590933915892955,0.3147037767123412,0.3616307192361508
ResNet18,IDRiD,APTOS,fsrcnn_degraded,0.3487165483342436,0.3115434430164962,0.3586926049247395
ResNet18,IDRiD,APTOS,srcnn_original,0.3413435281267067,0.3303192178769153,0.3690153016588432
ResNet18,IDRiD,APTOS,srcnn_degraded,0.3268705625341344,0.32512369396423646,0.3556666090189859
ResNet50,IDRiD,IDRiD,original_val,0.5480769230769231,0.3914089089089089,0.5092137913020764
ResNet50,IDRiD,IDRiD,original_full,0.8488372093023255,0.800127772331112,0.8438091373245453
ResNet50,IDRiD,IDRiD,degraded,0.8507751937984496,0.8018438780076137,0.846328002039763
ResNet50,IDRiD,IDRiD,bicubic_original,0.8813559322033898,0.8341296857589345,0.8786276436222931
ResNet50,IDRiD,IDRiD,bicubic_degraded,0.8910411622276029,0.845256076613784,0.8890076796026433
ResNet50,IDRiD,IDRiD,espcn_original,0.8861985472154964,0.8383029766969313,0.8837252436222884
ResNet50,IDRiD,IDRiD,espcn_degraded,0.8910411622276029,0.8438771466634254,0.8887163384762634
ResNet50,IDRiD,IDRiD,fsrcnn_original,0.6876513317191283,0.5035453439140885,0.6416701401468021
ResNet50,IDRiD,IDRiD,fsrcnn_degraded,0.6876513317191283,0.5035453439140885,0.6421515752865237
ResNet50,IDRiD,IDRiD,srcnn_original,0.8910411622276029,0.8490772864208209,0.8895094967377386
