dataset,image,method,psnr,ssim
APTOS,002c21358ce6.png,bicubic,37.03035254877774,0.8879169140420622
APTOS,002c21358ce6.png,espcn,36.695667230319565,0.920567545139168
APTOS,002c21358ce6.png,fsrcnn,33.96573853360096,0.8784868571145995
APTOS,002c21358ce6.png,srcnn,37.36118220510243,0.9258307106362754
APTOS,005b95c28852.png,bicubic,40.485234319570836,0.8836873024799362
APTOS,005b95c28852.png,espcn,41.16778981234911,0.958574785419878
APTOS,005b95c28852.png,fsrcnn,32.20905484743832,0.8952671696060622
APTOS,005b95c28852.png,srcnn,41.80184628342049,0.9077876391716172
APTOS,0097f532ac9f.png,bicubic,39.05826740749811,0.8970424285864874
APTOS,0097f532ac9f.png,espcn,32.64375279618622,0.9545520821713162
APTOS,0097f532ac9f.png,fsrcnn,24.79844121772111,0.759214464501177
APTOS,0097f532ac9f.png,srcnn,40.153211645242095,0.9634148308947434
APTOS,00cc2b75cddd.png,bicubic,37.827576347366985,0.8981789775074148
APTOS,00cc2b75cddd.png,espcn,37.310668502785205,0.9277175859779474
APTOS,00cc2b75cddd.png,fsrcnn,30.600228303726208,0.8516571782405767
APTOS,00cc2b75cddd.png,srcnn,37.81983725361789,0.9322874486864264
APTOS,00f6c1be5a33.png,bicubic,37.709218505468996,0.8898163836914167
APTOS,00f6c1be5a33.png,espcn,37.43702245019323,0.9277572274983568
APTOS,00f6c1be5a33.png,fsrcnn,30.60868687719452,0.8673774505785179
APTOS,00f6c1be5a33.png,srcnn,37.923436560777446,0.9227442401118854
APTOS,0125fbd2e791.png,bicubic,37.71779506869561,0.8926679176424611
APTOS,0125fbd2e791.png,espcn,37.23364918114431,0.9311469451681454
APTOS,0125fbd2e791.png,fsrcnn,29.759338993289287,0.8555992535925364
APTOS,0125fbd2e791.png,srcnn,37.71421128911121,0.9248936178449148
APTOS,014508ccb9cb.png,bicubic,39.07703667125033,0.8944310291936365
APTOS,014508ccb9cb.png,espcn,40.20126949662432,0.9647460922724781
APTOS,014508ccb9cb.png,fsrcnn,28.255645966881854,0.8827965652383258
APTOS,014508ccb9cb.png,srcnn,40.67269112656258,0.9446766678947061
APTOS,0151781fe50b.png,bicubic,37.4366256674697,0.8833658959200607
APTOS,0151781fe50b.png,espcn,36.98151201152164,0.9579131463295208
APTOS,0151781fe50b.png,fsrcnn,30.593673409292105,0.9427033435347291
APTOS,0151781fe50b.png,srcnn,37.265604752039,0.8977150504917093
APTOS,0182152c50de.png,bicubic,37.58995750377848,0.894531392214876
APTOS,0182152c50de.png,espcn,37.48466117534154,0.9349568246455157
APTOS,0182152c50de.png,fsrcnn,30.856517245355462,0.8624157588243642
APTOS,0182152c50de.png,srcnn,37.922461619037385,0.9387262173136431
APTOS,01d9477b1171.png,bicubic,37.996717409371776,0.8875195431522526
APTOS,01d9477b1171.png,espcn,37.8826084835366,0.959491655174539
APTOS,01d9477b1171.png,fsrcnn,32.78896693254787,0.9403852509434533
APTOS,01d9477b1171.png,srcnn,38.12754002786938,0.9011690389825758
APTOS,01f7bb8be950.png,bicubic,38.98587885439432,0.9000182679019687
APTOS,01f7bb8be950.png,espcn,34.346339584610675,0.9549556536393521
APTOS,01f7bb8be950.png,fsrcnn,24.558689297817292,0.7144044855313835
APTOS,01f7bb8be950.png,srcnn,40.61625877719182,0.9635610968452264
APTOS,0212dd31f623.png,bicubic,37.442371021667505,0.884208176070245
APTOS,0212dd31f623.png,espcn,37.26825575990672,0.9187118320856443
APTOS,0212dd31f623.png,fsrcnn,30.549619353473826,0.8665038804518194
APTOS,0212dd31f623.png,srcnn,37.77289820246551,0.9170891771962286
APTOS,022f820027b8.png,bicubic,36.93726461955877,0.8834634083842136
APTOS,022f820027b8.png,espcn,36.46862739313547,0.9585359846990625
APTOS,022f820027b8.png,fsrcnn,30.87824288875646,0.9522587765316306
APTOS,022f820027b8.png,srcnn,36.90079602939987,0.8988114228934448
APTOS,0231642cf1c2.png,bicubic,38.880212058387535,0.8972364505202606
APTOS,0231642cf1c2.png,espcn,32.76033190192817,0.9543653964069724
APTOS,0231642cf1c2.png,fsrcnn,25.864986486284515,0.79363157535124
APTOS,0231642cf1c2.png,srcnn,39.81241516045453,0.9637453879330217
APTOS,0232dfea7547.png,bicubic,36.967474934569836,0.8886721097603866
APTOS,0232dfea7547.png,espcn,36.58036047247626,0.9179545878454176
APTOS,0232dfea7547.png,fsrcnn,33.207526913240855,0.8685267591034301
