model,task,eval_dataset,eval_condition,accuracy,balanced_accuracy,f1_weighted
clip_zeroshot,5-class,APTOS,original,0.4781540141998908,0.3143485212998511,0.3937128198103247
clip_zeroshot,5-class,APTOS,degraded,0.4756963407973785,0.2994428976074664,0.3769296695977583
clip_zeroshot,5-class,APTOS,bicubic_original,0.4781540141998908,0.3143485212998511,0.3937128198103247
clip_zeroshot,5-class,APTOS,bicubic_degraded,0.4756963407973785,0.2994428976074664,0.3769296695977583
clip_zeroshot,5-class,APTOS,espcn_original,0.4830693610049153,0.3191985860101199,0.4208412362560193
clip_zeroshot,5-class,APTOS,espcn_degraded,0.488803932277444,0.32114656128434776,0.4087130800957426
clip_zeroshot,5-class,APTOS,fsrcnn_original,0.5161114145275806,0.2921006658201841,0.4091898765866364
clip_zeroshot,5-class,APTOS,fsrcnn_degraded,0.5114691425450574,0.2846957100197236,0.3979952769775015
clip_zeroshot,5-class,APTOS,srcnn_original,0.4669579464773348,0.3036585075882939,0.3782211211778868
clip_zeroshot,5-class,APTOS,srcnn_degraded,0.474604041507373,0.3013605955933687,0.3715489409171356
clip_zeroshot,5-class,IDRiD,original,0.3333333333333333,0.27650491964072577,0.21290143279426377
clip_zeroshot,5-class,IDRiD,degraded,0.32751937984496127,0.2705643255813198,0.20794943765169485
clip_zeroshot,5-class,IDRiD,bicubic_original,0.4092009685230024,0.29936940891725794,0.282473895477149
clip_zeroshot,5-class,IDRiD,bicubic_degraded,0.39951573849878935,0.289768763495717,0.274549479960769
clip_zeroshot,5-class,IDRiD,espcn_original,0.4092009685230024,0.29936940891725794,0.2817843538967266
clip_zeroshot,5-class,IDRiD,espcn_degraded,0.4067796610169492,0.2966667062145552,0.2801228617711459
clip_zeroshot,5-class,IDRiD,fsrcnn_original,0.4406779661016949,0.345461879790238,0.30559991976123824
clip_zeroshot,5-class,IDRiD,fsrcnn_degraded,0.45036319612590797,0.35506252521177895,0.3108060364691957
clip_zeroshot,5-class,IDRiD,srcnn_original,0.4019370460048426,0.2924714661984197,0.2762557207958382
clip_zeroshot,5-class,IDRiD,srcnn_degraded,0.4019370460048426,0.2924714661984197,0.27582523118859315
retclip_zeroshot,5-class,APTOS,original,0.4781540141998908,0.3143485212998511,0.3937128198103247
retclip_zeroshot,5-class,APTOS,degraded,0.4756963407973785,0.2994428976074664,0.3769296695977583
retclip_zeroshot,5-class,APTOS,bicubic_original,0.4781540141998908,0.3143485212998511,0.3937128198103247
retclip_zeroshot,5-class,APTOS,bicubic_degraded,0.4756963407973785,0.2994428976074664,0.3769296695977583
retclip_zeroshot,5-class,APTOS,espcn_original,0.4830693610049153,0.3191985860101199,0.4208412362560193
retclip_zeroshot,5-class,APTOS,espcn_degraded,0.488803932277444,0.32114656128434776,0.4087130800957426
retclip_zeroshot,5-class,APTOS,fsrcnn_original,0.5161114145275806,0.2921006658201841,0.4091898765866364
retclip_zeroshot,5-class,APTOS,fsrcnn_degraded,0.5114691425450574,0.2846957100197236,0.3979952769775015
retclip_zeroshot,5-class,APTOS,srcnn_original,0.4669579464773348,0.3036585075882939,0.3782211211778868
retclip_zeroshot,5-class,APTOS,srcnn_degraded,0.474604041507373,0.3013605955933687,0.3715489409171356
retclip_zeroshot,5-class,IDRiD,original,0.3333333333333333,0.27650491964072577,0.21290143279426377
retclip_zeroshot,5-class,IDRiD,degraded,0.32751937984496127,0.2705643255813198,0.20794943765169485
retclip_zeroshot,5-class,IDRiD,bicubic_original,0.4092009685230024,0.29936940891725794,0.282473895477149
retclip_zeroshot,5-class,IDRiD,bicubic_degraded,0.39951573849878935,0.289768763495717,0.274549479960769
retclip_zeroshot,5-class,IDRiD,espcn_original,0.4092009685230024,0.29936940891725794,0.2817843538967266
retclip_zeroshot,5-class,IDRiD,espcn_degraded,0.4067796610169492,0.2966667062145552,0.2801228617711459
retclip_zeroshot,5-class,IDRiD,fsrcnn_original,0.4406779661016949,0.345461879790238,0.30559991976123824
retclip_zeroshot,5-class,IDRiD,fsrcnn_degraded,0.45036319612590797,0.35506252521177895,0.3108060364691957
retclip_zeroshot,5-class,IDRiD,srcnn_original,0.4019370460048426,0.2924714661984197,0.2762557207958382
retclip_zeroshot,5-class,IDRiD,srcnn_degraded,0.4019370460048426,0.2924714661984197,0.27582523118859315
clip_zeroshot,binary,APTOS,original,0.7222829055161114,0.7237200858621343,0.7196057290591851
clip_zeroshot,binary,APTOS,degraded,0.690606226105953,0.6918508540716641,0.68837682535158
clip_zeroshot,binary,APTOS,bicubic_original,0.7222829055161114,0.7237200858621343,0.7196057290591851
clip_zeroshot,binary,APTOS,bicubic_degraded,0.690606226105953,0.6918508540716641,0.68837682535158
clip_zeroshot,binary,APTOS,espcn_original,0.6291643910431458,0.6331309099208355,0.5983886737636266
clip_zeroshot,binary,APTOS,espcn_degraded,0.6436373566357182,0.647199560844122,0.6202342129327891
clip_zeroshot,binary,APTOS,fsrcnn_original,0.4907154560349536,0.4977684198592732,0.32546864013202775
clip_zeroshot,binary,APTOS,fsrcnn_degraded,0.4915346805024577,0.4986072016193873,0.32535259618216933
clip_zeroshot,binary,APTOS,srcnn_original,0.6537411250682688,0.6567972946565888,0.6373547144147327
clip_zeroshot,binary,APTOS,srcnn_degraded,0.6400873839432004,0.6424426852353228,0.6302007136152814
clip_zeroshot,binary,IDRiD,original,0.3391472868217054,0.5488200359459248,0.2624215027569965
clip_zeroshot,binary,IDRiD,degraded,0.34689922480620156,0.5564780808001876,0.27331755238731986
clip_zeroshot,binary,IDRiD,bicubic_original,0.4019370460048426,0.5534692130744129,0.313456499386381
clip_zeroshot,binary,IDRiD,bicubic_degraded,0.4092009685230024,0.5588455571604344,0.3258167641101146
clip_zeroshot,binary,IDRiD,espcn_original,0.39709443099273606,0.5518242122719734,0.30225721371324926
clip_zeroshot,binary,IDRiD,espcn_degraded,0.4043583535108959,0.5552613277697533,0.31759928172084106
clip_zeroshot,binary,IDRiD,fsrcnn_original,0.6077481840193705,0.6786497619429733,0.6122384568858185
clip_zeroshot,binary,IDRiD,fsrcnn_degraded,0.6150121065375302,0.6898437917937196,0.618617450107817
clip_zeroshot,binary,IDRiD,srcnn_original,0.39951573849878935,0.5516770983790724,0.3092907072685492
clip_zeroshot,binary,IDRiD,srcnn_degraded,0.39951573849878935,0.5516770983790724,0.3092907072685492
retclip_zeroshot,binary,APTOS,original,0.7222829055161114,0.7237200858621343,0.7196057290591851
retclip_zeroshot,binary,APTOS,degraded,0.690606226105953,0.6918508540716641,0.68837682535158
retclip_zeroshot,binary,APTOS,bicubic_original,0.7222829055161114,0.7237200858621343,0.7196057290591851
retclip_zeroshot,binary,APTOS,bicubic_degraded,0.690606226105953,0.6918508540716641,0.68837682535158
retclip_zeroshot,binary,APTOS,espcn_original,0.6291643910431458,0.6331309099208355,0.5983886737636266
retclip_zeroshot,binary,APTOS,espcn_degraded,0.6436373566357182,0.647199560844122,0.6202342129327891
retclip_zeroshot,binary,APTOS,fsrcnn_original,0.4907154560349536,0.4977684198592732,0.32546864013202775
retclip_zeroshot,binary,APTOS,fsrcnn_degraded,0.4915346805024577,0.4986072016193873,0.32535259618216933
retclip_zeroshot,binary,APTOS,srcnn_original,0.6537411250682688,0.6567972946565888,0.6373547144147327
retclip_zeroshot,binary,APTOS,srcnn_degraded,0.6400873839432004,0.6424426852353228,0.6302007136152814
retclip_zeroshot,binary,IDRiD,original,0.3391472868217054,0.5488200359459248,0.2624215027569965
retclip_zeroshot,binary,IDRiD,degraded,0.34689922480620156,0.5564780808001876,0.27331755238731986
retclip_zeroshot,binary,IDRiD,bicubic_original,0.4019370460048426,0.5534692130744129,0.313456499386381
retclip_zeroshot,binary,IDRiD,bicubic_degraded,0.4092009685230024,0.5588455571604344,0.3258167641101146
retclip_zeroshot,binary,IDRiD,espcn_original,0.39709443099273606,0.5518242122719734,0.30225721371324926
retclip_zeroshot,binary,IDRiD,espcn_degraded,0.4043583535108959,0.5552613277697533,0.31759928172084106
retclip_zeroshot,binary,IDRiD,fsrcnn_original,0.6077481840193705,0.6786497619429733,0.6122384568858185
retclip_zeroshot,binary,IDRiD,fsrcnn_degraded,0.6150121065375302,0.6898437917937196,0.618617450107817
